				   vg     			  lv                                          filesystem
              rootvg                  hd4                                                  /
              rootvg                  hd2                                               /usr
              rootvg               hd9var                                               /var
              rootvg                  hd3                                               /tmp
              rootvg                  hd1                                              /home
              rootvg              hd10opt                                               /opt
              rootvg            hd11admin                                             /admin
              rootvg             livedump                              /var/adm/ras/livedump
              rootvg              tempolv                                             /tempo
              rootvg              adminlv                                  /tools/list/admin
             toolsvg            productlv                                /tools/list/product
             toolsvg                cftlv                                    /tools/list/cft
             toolsvg                tsmlv                                    /tools/list/tsm
             toolsvg             tivcdclv                                    /tools/list/cdc
             toolsvg             tivtivlv                                 /tools/list/tivoli
             toolsvg           sinagioslv                               /tools/list/sinagios
             toolsvg      oracleprod112lv         /tools/list/oracle/product/client64/11.2.0
             toolsvg         db2v101fp2lv                           /tools/list/db2/v10.1fp2
             toolsvg                temlv                                    /tools/list/tem
             toolsvg               netclv                                /tools/list/netcool
             toolsvg               fslv01                        /tools/list/oracle/unixodbc
             toolsvg           syncsortlv                               /tools/list/syncsort
             toolsvg        omnicollectlv                 /tools/list/omnivision/collectnode
             toolsvg       omniinvestiglv               /tools/list/omnivision/investigation
             toolsvg              osseclv                                  /tools/list/ossec
             toolsvg           tsmcachelv                          /tools/list/tsm_bkp_cache
               appvg            sasdatalv                              /app/list/sas/SASDATA
               appvg             SASBINlv                               /app/list/sas/SASBIN
               appvg            SASWORKlv                              /app/list/sas/SASWORK
               appvg           SASDEPOTlv                             /app/list/sas/SASDEPOT
               appvg            db2homelv                        /app/list/db2/db2clcl1/home
               appvg            db2templv                       /app/list/db2/db2clcl1/tempo
               appvg          SASCONFIGlv                            /app/list/sas/SASCONFIG
               appvg            datavizlv                                 /users/sas/dataviz
               appvg           duniverslv                               /tools/list/universe
               appvg           dunivloglv                            /tools/list/universelog
               appvg           sassharelv                             /app/list/sas/SASSHARE
         saspilotevg       saspiloteusrlv                                /users/sas/pilotage
         saspilotevg       lcl_pilotagelv                            /users/sas/lcl_pilotage
           sasmoapvg            sasmoaplv                                    /users/sas/moap
           sasdmppvg        sasdmpindiclv                             /users/sas/indicateurs
           sasdmppvg      sasdmpciblagelv                                 /users/sas/ciblage
           sasdmppvg        sasdmpsiam2lv                                   /users/sas/siam2
           sasdmppvg           sasguestlv                                /users/sas/sasguest
           sasdmppvg               fslv00                                   /users/sas/gmktg
           sasdmppvg        userssasfinlv                                     /users/sas/fin
           sasdmppvg        sasavantagelv                                /users/sas/avantage
           sasdmppvg      sasdmpetudesnlv                                  /users/sas/etudes
           sasdmefvg         sasdmefdmelv                                     /users/sas/dme
           sasdfcgvg                 lv00                                      /usr/sas/save
            sasdervg          sasdercprst                            /users/sas/cpr_stockage
            sasdervg      new_sasderderlv                                     /users/sas/der
            sasdervg          sasdercprlv                                     /users/sas/cpr
            sasdervg           db2tempolv                             /applis/list/db2/tempo
            sasdervg               fslv02                                /users/sas/validmod
          sasbale2vg          sas_stocklv                     /users/sas/etudebale2_stockage
          sasbale2vg       new_sasbale2lv                              /users/sas/etudebale2
           sasanapvg            anaperflv                                 /users/sas/anaperf
             sasigvg              sasiglv                                      /users/sas/ig
             sasigvg               kxenlv                                    /users/sas/kxen
